customer_code,first_name,last_name,email,phone,date_of_birth,gender,acquisition_date,customer_status
C00028,John,Davis,john.davis8@email.com,+1-272-824-1964,1951-06-11,Male,2024-05-11,Active
C00029,Olivia,Ramirez,olivia.ramirez339@email.com,+1-272-626-4899,1977-06-04,Other,2024-03-21,Active
C00030,Benjamin,Moore,benjamin.moore136@email.com,+1-940-684-8744,1957-06-09,Female,2024-04-27,Active
C00031,Sofia,Miller,sofia.miller97@email.com,+1-299-774-8062,1982-06-03,Female,2024-01-04,Active
C00032,David,Ramirez,david.ramirez747@email.com,+1-255-789-2612,1962-06-08,Female,2024-10-30,Active
C00033,Michael,Sanchez,michael.sanchez883@email.com,+1-311-354-4139,1980-06-03,Other,2024-06-20,Active
C00034,Isabella,Wilson,isabella.wilson188@email.com,+1-485-573-5092,1957-06-09,Female,2024-10-15,Active
C00035,Sebastian,Brown,sebastian.brown52@email.com,+1-867-653-1241,1998-05-30,Male,2024-09-27,Active
C00036,Sofia,Thomas,sofia.thomas493@email.com,+1-418-985-7570,1984-06-02,Male,2024-11-01,Active
C00037,Emma,Gonzalez,emma.gonzalez272@email.com,+1-665-392-7930,1958-06-09,Other,2023-01-18,Active
C00038,Sebastian,Perez,sebastian.perez736@email.com,+1-698-258-4111,2005-05-28,Male,2024-03-03,Active
C00039,John,White,john.white556@email.com,+1-262-865-6138,1971-06-06,Male,2024-11-03,Active
C00040,Ella,Taylor,ella.taylor942@email.com,+1-743-261-1931,1954-06-10,Male,2023-07-30,Active
C00041,James,Williams,james.williams610@email.com,+1-269-791-4853,1952-06-10,Male,2023-11-14,Active
C00042,Chloe,Davis,chloe.davis593@email.com,+1-808-140-2343,1971-06-06,Other,2023-10-29,Active
C00043,Chloe,Taylor,chloe.taylor324@email.com,+1-467-309-6147,1983-06-03,Female,2024-05-01,Active
C00044,Isabella,Perez,isabella.perez661@email.com,+1-507-568-6180,1979-06-04,Male,2024-10-18,Active
C00045,Andrew,Jackson,andrew.jackson103@email.com,+1-275-650-4492,2000-05-29,Female,2023-08-01,Active
C00046,Emily,Lewis,emily.lewis71@email.com,+1-450-478-5669,1955-06-10,Female,2024-07-23,Active
C00047,Grace,Thompson,grace.thompson310@email.com,+1-826-926-9666,1956-06-09,Other,2024-12-23,Active
C00048,Sebastian,Martinez,sebastian.martinez955@email.com,+1-879-206-3200,1952-06-10,Male,2024-04-05,Active
C00049,Sophia,White,sophia.white567@email.com,+1-359-378-5616,1963-06-08,Male,2023-04-22,Active
C00050,Michael,Miller,michael.miller704@email.com,+1-849-973-5325,1992-05-31,Female,2023-08-02,Active
C00051,Noah,Williams,noah.williams650@email.com,+1-633-949-5533,1987-06-02,Male,2024-11-16,Active
C00052,Isabella,Lee,isabella.lee269@email.com,+1-365-859-8239,1981-06-03,Other,2023-06-16,Active
C00053,Sebastian,Smith,sebastian.smith115@email.com,+1-277-807-3442,1955-06-10,Male,2023-06-22,Active
C00054,Daniel,Jackson,daniel.jackson566@email.com,+1-351-540-3088,1985-06-02,Female,2024-11-19,Active
C00055,Olivia,Lewis,olivia.lewis367@email.com,+1-415-798-5088,1986-06-02,Male,2023-02-18,Active
C00056,Sebastian,Lewis,sebastian.lewis896@email.com,+1-616-735-3532,1957-06-09,Male,2024-05-03,Active
C00057,James,Lewis,james.lewis423@email.com,+1-225-283-6442,1953-06-10,Other,2023-11-06,Active
C00058,Lucas,Rodriguez,lucas.rodriguez164@email.com,+1-918-210-7267,1994-05-31,Female,2024-11-22,Active
C00059,Charlotte,Clark,charlotte.clark941@email.com,+1-671-458-6000,2007-05-28,Male,2024-05-12,Active
C00060,Charlotte,Gonzalez,charlotte.gonzalez337@email.com,+1-485-985-2137,1967-06-07,Female,2024-03-21,Active
C00061,Scarlett,Gonzalez,scarlett.gonzalez696@email.com,+1-749-439-1452,1997-05-30,Female,2024-09-04,Active
C00062,John,Rodriguez,john.rodriguez40@email.com,+1-311-710-8119,1958-06-09,Other,2024-01-13,Active
C00063,Abigail,Wilson,abigail.wilson621@email.com,+1-723-218-7311,1992-05-31,Male,2023-05-21,Active
C00064,Olivia,Thompson,olivia.thompson447@email.com,+1-201-632-9821,1961-06-08,Other,2023-01-28,Active
C00065,Charlotte,Lopez,charlotte.lopez442@email.com,+1-271-780-6409,1966-06-07,Female,2023-04-03,Active
C00066,Mason,White,mason.white922@email.com,+1-507-619-6067,1988-06-01,Female,2023-02-18,Active
C00067,Matthew,Thompson,matthew.thompson303@email.com,+1-767-230-4143,1984-06-02,Other,2023-10-28,Active
C00068,James,Martin,james.martin583@email.com,+1-508-515-9977,1990-06-01,Female,2024-12-31,Active
C00069,Benjamin,Wilson,benjamin.wilson805@email.com,+1-793-721-6279,1980-06-03,Female,2023-09-12,Active
C00070,Benjamin,Taylor,benjamin.taylor485@email.com,+1-953-273-2389,1966-06-07,Other,2024-03-16,Active
C00071,Andrew,Hernandez,andrew.hernandez96@email.com,+1-969-340-6085,1999-05-30,Male,2024-05-15,Active
C00072,Liam,Johnson,liam.johnson251@email.com,+1-686-725-2193,1952-06-10,Female,2023-09-22,Active
C00073,Chloe,Miller,chloe.miller736@email.com,+1-913-493-9099,1999-05-30,Male,2023-11-18,Active
C00074,Emma,Lewis,emma.lewis769@email.com,+1-988-209-7965,1957-06-09,Male,2024-05-21,Active
C00075,Samuel,Anderson,samuel.anderson52@email.com,+1-770-355-2988,1957-06-09,Male,2023-09-21,Active
C00076,David,Perez,david.perez544@email.com,+1-772-709-6198,1956-06-09,Other,2023-10-05,Active
C00077,Scarlett,Wilson,scarlett.wilson851@email.com,+1-761-556-3607,1992-05-31,Female,2023-09-02,Active
C00078,Lucas,Clark,lucas.clark653@email.com,+1-483-884-9540,1993-05-31,Other,2023-08-23,Active
C00079,Henry,Anderson,henry.anderson80@email.com,+1-930-392-4841,1988-06-01,Female,2024-03-28,Active
C00080,Grace,Williams,grace.williams142@email.com,+1-354-336-7275,1963-06-08,Male,2023-01-21,Active
C00081,Benjamin,Williams,benjamin.williams425@email.com,+1-617-438-9890,2005-05-28,Female,2023-09-11,Active
C00082,Benjamin,Clark,benjamin.clark431@email.com,+1-598-888-1320,1978-06-04,Female,2023-05-22,Active
C00083,Emma,Lopez,emma.lopez306@email.com,+1-971-499-7865,1961-06-08,Other,2023-06-29,Active
C00084,Grace,Sanchez,grace.sanchez618@email.com,+1-425-599-4595,1977-06-04,Female,2024-03-27,Active
C00085,Liam,Gonzalez,liam.gonzalez345@email.com,+1-884-795-7624,2000-05-29,Female,2024-07-15,Active
C00086,Andrew,Moore,andrew.moore28@email.com,+1-603-706-1444,1981-06-03,Other,2024-10-07,Active
C00087,Isabella,Ramirez,isabella.ramirez473@email.com,+1-386-151-5262,1995-05-31,Female,2023-12-09,Active
C00088,David,Hernandez,david.hernandez346@email.com,+1-979-488-5558,1955-06-10,Female,2023-10-27,Active
C00089,Ethan,Thomas,ethan.thomas20@email.com,+1-967-652-1853,1967-06-07,Male,2024-01-08,Active
C00090,Ava,Harris,ava.harris981@email.com,+1-867-141-1508,1955-06-10,Male,2024-04-22,Active
C00091,Liam,Martin,liam.martin157@email.com,+1-444-229-8758,1972-06-05,Male,2023-02-15,Active
C00092,Benjamin,Anderson,benjamin.anderson717@email.com,+1-462-885-7043,1970-06-06,Other,2024-07-13,Active
C00093,Mason,Harris,mason.harris839@email.com,+1-367-418-2771,1989-06-01,Male,2023-05-19,Active
C00094,Chloe,Perez,chloe.perez930@email.com,+1-584-506-4249,1964-06-07,Other,2024-10-15,Active
C00095,Lucas,Brown,lucas.brown714@email.com,+1-991-408-2983,1986-06-02,Male,2023-06-01,Active
C00096,Grace,Wilson,grace.wilson678@email.com,+1-579-170-9289,2008-05-27,Female,2023-03-09,Active
C00097,Sofia,Clark,sofia.clark502@email.com,+1-308-543-6934,1963-06-08,Female,2023-03-22,Active
C00098,William,Wilson,william.wilson181@email.com,+1-951-634-5425,1959-06-09,Other,2023-04-11,Active
C00099,Ella,Anderson,ella.anderson447@email.com,+1-948-706-5397,1955-06-10,Male,2024-02-05,Active
C00100,Ethan,Rodriguez,ethan.rodriguez903@email.com,+1-661-349-8613,1966-06-07,Other,2023-05-28,Active
C00101,Elizabeth,Hernandez,elizabeth.hernandez30@email.com,+1-706-971-6325,1995-05-31,Female,2024-06-28,Active
C00102,Emily,Sanchez,emily.sanchez265@email.com,+1-548-386-5526,1975-06-05,Male,2023-06-11,Active
C00103,Charlotte,Williams,charlotte.williams248@email.com,+1-937-516-9004,1964-06-07,Male,2023-06-12,Active
C00104,Ella,Lee,ella.lee729@email.com,+1-702-558-1282,1994-05-31,Female,2024-09-27,Active
C00105,Matthew,Thompson,matthew.thompson250@email.com,+1-513-779-7046,1975-06-05,Other,2023-09-04,Active
C00106,Emily,Wilson,emily.wilson764@email.com,+1-763-438-6764,1991-06-01,Female,2023-01-12,Active
C00107,Alexander,Rodriguez,alexander.rodriguez237@email.com,+1-323-838-4155,1961-06-08,Male,2024-02-12,Active
C00108,Grace,Harris,grace.harris707@email.com,+1-389-296-4545,1962-06-08,Female,2023-08-24,Active
C00109,John,Harris,john.harris538@email.com,+1-811-389-2647,1994-05-31,Female,2024-06-16,Active
C00110,Daniel,Garcia,daniel.garcia310@email.com,+1-214-825-9751,2006-05-28,Female,2024-08-24,Active
C00111,Noah,Moore,noah.moore300@email.com,+1-914-229-9042,1972-06-05,Male,2024-09-17,Active
C00112,Evelyn,Thomas,evelyn.thomas491@email.com,+1-651-448-4020,1953-06-10,Female,2024-11-09,Active
C00113,Ella,Brown,ella.brown842@email.com,+1-266-510-9056,1968-06-06,Other,2024-10-17,Active
C00114,Noah,Jones,noah.jones153@email.com,+1-776-411-2395,1973-06-05,Male,2024-04-21,Active
C00115,Sofia,Martin,sofia.martin611@email.com,+1-833-331-9561,1980-06-03,Female,2023-12-08,Active
C00116,Alexander,Ramirez,alexander.ramirez603@email.com,+1-639-412-1986,2002-05-29,Other,2023-04-17,Active
C00117,Benjamin,Lee,benjamin.lee217@email.com,+1-470-776-2330,1997-05-30,Male,2024-07-24,Active
C00118,Sebastian,Williams,sebastian.williams161@email.com,+1-202-518-8381,1978-06-04,Other,2023-01-26,Active
C00119,Evelyn,Johnson,evelyn.johnson238@email.com,+1-495-823-5632,2004-05-28,Female,2023-01-12,Active
C00120,Amelia,Robinson,amelia.robinson271@email.com,+1-840-703-4241,1974-06-05,Male,2023-10-23,Active
C00121,Amelia,Lee,amelia.lee153@email.com,+1-472-946-3330,1998-05-30,Male,2024-10-19,Active
C00122,Alexander,Martin,alexander.martin767@email.com,+1-782-395-8195,1964-06-07,Female,2024-08-26,Active
C00123,Alexander,Thompson,alexander.thompson413@email.com,+1-478-612-9847,2003-05-29,Female,2023-08-14,Active
C00124,Victoria,Johnson,victoria.johnson911@email.com,+1-642-852-6280,2007-05-28,Female,2023-04-23,Active
C00125,Ethan,Davis,ethan.davis985@email.com,+1-890-956-1339,1972-06-05,Female,2023-02-12,Active
C00126,Olivia,Harris,olivia.harris775@email.com,+1-379-581-9502,1991-06-01,Female,2023-03-05,Active
C00127,James,Jackson,james.jackson447@email.com,+1-850-933-9056,1986-06-02,Female,2024-09-29,Active
C00128,Sofia,Hernandez,sofia.hernandez329@email.com,+1-886-207-3634,1964-06-07,Female,2024-01-29,Active
C00129,Joseph,Martinez,joseph.martinez679@email.com,+1-610-933-1601,1988-06-01,Male,2023-09-23,Active
C00130,Harper,Hernandez,harper.hernandez119@email.com,+1-991-513-9431,1953-06-10,Other,2024-12-30,Active
C00131,Grace,Anderson,grace.anderson424@email.com,+1-255-292-9494,1960-06-08,Other,2023-12-27,Active
C00132,Joseph,Lee,joseph.lee453@email.com,+1-978-152-4335,2000-05-29,Other,2024-04-02,Active
C00133,Evelyn,Anderson,evelyn.anderson902@email.com,+1-915-596-2989,1970-06-06,Other,2024-12-02,Active
C00134,Lucas,Thompson,lucas.thompson163@email.com,+1-518-664-1224,2003-05-29,Female,2023-06-15,Active
C00135,Amelia,Clark,amelia.clark935@email.com,+1-316-572-2924,1977-06-04,Male,2023-03-09,Active
C00136,Evelyn,Taylor,evelyn.taylor723@email.com,+1-479-525-8905,1979-06-04,Male,2023-09-05,Active
C00137,Sebastian,Jones,sebastian.jones393@email.com,+1-395-713-9327,1991-06-01,Male,2024-08-14,Active
C00138,Sofia,Hernandez,sofia.hernandez957@email.com,+1-719-373-1042,1989-06-01,Other,2024-03-17,Active
C00139,John,Jackson,john.jackson676@email.com,+1-701-986-3434,1978-06-04,Other,2023-10-01,Active
C00140,Emily,Hernandez,emily.hernandez566@email.com,+1-981-656-7180,1953-06-10,Female,2023-09-22,Active
C00141,Charlotte,Thompson,charlotte.thompson245@email.com,+1-785-492-4826,1988-06-01,Male,2023-11-07,Active
C00142,Ella,Thompson,ella.thompson936@email.com,+1-590-495-3492,2000-05-29,Male,2023-08-12,Active
C00143,Scarlett,Jackson,scarlett.jackson340@email.com,+1-302-995-8213,1979-06-04,Other,2024-09-20,Active
C00144,Emma,White,emma.white148@email.com,+1-619-991-3529,1958-06-09,Female,2024-10-16,Active
C00145,Harper,Hernandez,harper.hernandez639@email.com,+1-909-507-2315,1954-06-10,Other,2024-01-30,Active
C00146,Grace,Gonzalez,grace.gonzalez978@email.com,+1-524-741-8994,1969-06-06,Male,2023-06-26,Active
C00147,Ava,Davis,ava.davis647@email.com,+1-900-394-4727,2002-05-29,Female,2024-09-30,Active
C00148,Sophia,Anderson,sophia.anderson171@email.com,+1-910-406-1474,1958-06-09,Female,2024-11-14,Active
C00149,Noah,Martinez,noah.martinez368@email.com,+1-583-541-3385,1982-06-03,Other,2024-04-25,Active
C00150,Chloe,Perez,chloe.perez812@email.com,+1-384-274-3868,1953-06-10,Other,2024-10-12,Active
C00151,Elizabeth,Martin,elizabeth.martin700@email.com,+1-446-609-3344,1968-06-06,Female,2024-05-08,Active
C00152,Harper,Anderson,harper.anderson262@email.com,+1-882-109-8622,1974-06-05,Other,2024-03-12,Active
C00153,Mia,Williams,mia.williams453@email.com,+1-553-701-5901,1964-06-07,Female,2023-03-18,Active
C00154,Harper,Anderson,harper.anderson866@email.com,+1-509-303-7302,1993-05-31,Male,2023-08-25,Active
C00155,Elizabeth,Jackson,elizabeth.jackson368@email.com,+1-788-402-5837,1983-06-03,Other,2024-12-09,Active
C00156,Henry,Smith,henry.smith580@email.com,+1-902-896-1803,1977-06-04,Other,2023-04-21,Active
C00157,Evelyn,Harris,evelyn.harris819@email.com,+1-435-721-6772,1996-05-30,Other,2024-05-21,Active
C00158,Andrew,Rodriguez,andrew.rodriguez695@email.com,+1-973-838-3240,1951-06-11,Male,2023-03-29,Active
C00159,Olivia,Martinez,olivia.martinez808@email.com,+1-651-134-6977,1990-06-01,Male,2024-08-19,Active
C00160,Abigail,White,abigail.white426@email.com,+1-379-305-3165,1975-06-05,Female,2023-06-28,Active
C00161,Scarlett,Robinson,scarlett.robinson280@email.com,+1-368-363-8894,1953-06-10,Other,2024-03-04,Active
C00162,Michael,Sanchez,michael.sanchez118@email.com,+1-679-177-3306,1962-06-08,Other,2024-05-14,Active
C00163,Matthew,Ramirez,matthew.ramirez824@email.com,+1-770-474-2479,1992-05-31,Male,2023-11-23,Active
C00164,Grace,Brown,grace.brown466@email.com,+1-577-788-5295,1956-06-09,Female,2023-05-13,Active
C00165,Daniel,Brown,daniel.brown692@email.com,+1-439-582-1410,1988-06-01,Other,2023-04-07,Active
C00166,Andrew,Davis,andrew.davis664@email.com,+1-264-750-8606,1967-06-07,Female,2023-01-14,Active
C00167,Sofia,Brown,sofia.brown144@email.com,+1-246-138-5986,2002-05-29,Male,2023-08-15,Active
C00168,Lucas,Lewis,lucas.lewis551@email.com,+1-338-497-8432,1961-06-08,Other,2023-12-18,Active
C00169,Grace,Wilson,grace.wilson602@email.com,+1-960-844-3531,2002-05-29,Other,2023-11-03,Active
C00170,Joseph,Martin,joseph.martin418@email.com,+1-486-133-7070,1980-06-03,Female,2024-05-23,Active
C00171,Lucas,Ramirez,lucas.ramirez372@email.com,+1-301-802-7018,1986-06-02,Other,2023-06-23,Active
C00172,Noah,Gonzalez,noah.gonzalez283@email.com,+1-394-225-8450,1995-05-31,Other,2024-09-29,Active
C00173,Victoria,Smith,victoria.smith52@email.com,+1-541-349-3063,2004-05-28,Male,2023-06-02,Active
C00174,Sebastian,Miller,sebastian.miller601@email.com,+1-421-932-4817,1958-06-09,Male,2024-01-30,Active
C00175,Victoria,Smith,victoria.smith284@email.com,+1-348-233-9850,2001-05-29,Male,2024-04-19,Active
C00176,Liam,Jones,liam.jones16@email.com,+1-566-908-4898,2007-05-28,Female,2023-05-09,Active
C00177,James,Rodriguez,james.rodriguez54@email.com,+1-329-859-7897,1961-06-08,Male,2023-07-12,Active
C00178,Ava,Thomas,ava.thomas460@email.com,+1-996-470-9408,1980-06-03,Male,2023-05-04,Active
C00179,Scarlett,Davis,scarlett.davis969@email.com,+1-829-144-9543,1967-06-07,Female,2024-02-27,Active
C00180,Liam,Johnson,liam.johnson491@email.com,+1-611-536-2768,1980-06-03,Other,2023-08-17,Active
C00181,Ava,Lewis,ava.lewis83@email.com,+1-529-722-3430,1991-06-01,Male,2024-10-25,Active
C00182,Andrew,Lee,andrew.lee600@email.com,+1-761-829-6327,1975-06-05,Other,2023-12-07,Active
C00183,Evelyn,Anderson,evelyn.anderson518@email.com,+1-819-540-2624,1954-06-10,Male,2023-01-13,Active
C00184,Sebastian,White,sebastian.white887@email.com,+1-420-540-8398,1987-06-02,Female,2024-05-12,Active
C00185,David,Gonzalez,david.gonzalez426@email.com,+1-947-197-6120,1966-06-07,Female,2023-10-21,Active
C00186,Harper,Lopez,harper.lopez977@email.com,+1-356-803-8770,1955-06-10,Male,2024-10-24,Active
C00187,Ethan,Williams,ethan.williams443@email.com,+1-298-862-7105,2005-05-28,Other,2024-08-20,Active
C00188,John,Moore,john.moore576@email.com,+1-537-786-3002,1953-06-10,Female,2023-11-07,Active
C00189,Jackson,Ramirez,jackson.ramirez938@email.com,+1-938-152-5712,1986-06-02,Female,2023-04-27,Active
C00190,Sophia,Jackson,sophia.jackson520@email.com,+1-417-258-8900,1986-06-02,Male,2024-05-16,Active
C00191,Sebastian,Lopez,sebastian.lopez118@email.com,+1-980-385-4705,1959-06-09,Other,2023-10-19,Active
C00192,Andrew,Martin,andrew.martin692@email.com,+1-858-670-1430,1955-06-10,Other,2023-04-18,Active
C00193,Henry,Smith,henry.smith185@email.com,+1-479-819-6062,2008-05-27,Female,2024-01-19,Active
C00194,James,Ramirez,james.ramirez147@email.com,+1-779-773-7566,1961-06-08,Male,2024-10-21,Active
C00195,Liam,Williams,liam.williams765@email.com,+1-743-320-7163,1987-06-02,Female,2023-10-29,Active
C00196,Mia,Lopez,mia.lopez320@email.com,+1-938-432-2391,1998-05-30,Male,2024-11-08,Active
C00197,Andrew,Johnson,andrew.johnson691@email.com,+1-283-378-8259,1977-06-04,Female,2023-02-23,Active
C00198,Victoria,Anderson,victoria.anderson425@email.com,+1-479-320-9394,1981-06-03,Female,2024-09-06,Active
C00199,Mason,Martinez,mason.martinez695@email.com,+1-894-707-8972,1989-06-01,Other,2023-07-11,Active
C00200,Olivia,Davis,olivia.davis405@email.com,+1-813-156-1125,1995-05-31,Female,2024-06-05,Active
C00201,Isabella,Harris,isabella.harris262@email.com,+1-496-435-2965,1961-06-08,Female,2024-12-24,Active
C00202,Jackson,Garcia,jackson.garcia133@email.com,+1-589-645-4770,1955-06-10,Other,2023-08-07,Active
C00203,Emily,Williams,emily.williams407@email.com,+1-959-143-8147,2004-05-28,Female,2024-12-12,Active
C00204,Abigail,Jackson,abigail.jackson440@email.com,+1-787-514-7843,1983-06-03,Male,2024-03-10,Active
C00205,Liam,Hernandez,liam.hernandez176@email.com,+1-832-571-6928,1954-06-10,Female,2024-10-02,Active
C00206,Sophia,Davis,sophia.davis447@email.com,+1-803-510-9584,1953-06-10,Female,2024-10-12,Active
C00207,Alexander,White,alexander.white348@email.com,+1-426-441-3754,1968-06-06,Other,2024-10-14,Active
C00208,Mason,Taylor,mason.taylor523@email.com,+1-398-894-6724,1956-06-09,Other,2024-01-07,Active
C00209,William,Davis,william.davis106@email.com,+1-349-362-4232,1999-05-30,Other,2024-07-07,Active
C00210,Ava,Garcia,ava.garcia975@email.com,+1-991-743-9095,1960-06-08,Other,2023-09-13,Active
C00211,John,Anderson,john.anderson698@email.com,+1-778-758-6295,1999-05-30,Female,2023-03-30,Active
C00212,Avery,Williams,avery.williams481@email.com,+1-652-746-5961,2005-05-28,Other,2024-03-25,Active
C00213,Emily,Taylor,emily.taylor76@email.com,+1-517-572-8404,1985-06-02,Male,2024-11-23,Active
C00214,Evelyn,Williams,evelyn.williams661@email.com,+1-292-729-9307,1971-06-06,Female,2023-12-04,Active
C00215,Sebastian,Sanchez,sebastian.sanchez757@email.com,+1-242-560-4084,1978-06-04,Other,2024-02-06,Active
C00216,Scarlett,Jones,scarlett.jones981@email.com,+1-263-561-2695,2003-05-29,Other,2024-01-15,Active
C00217,Scarlett,Lee,scarlett.lee177@email.com,+1-240-353-8172,1975-06-05,Other,2023-10-09,Active
C00218,Andrew,Garcia,andrew.garcia373@email.com,+1-581-389-7347,1965-06-07,Female,2023-11-09,Active
C00219,Victoria,Johnson,victoria.johnson809@email.com,+1-846-762-6482,2002-05-29,Female,2024-10-25,Active
C00220,Sebastian,Perez,sebastian.perez396@email.com,+1-490-358-3463,1971-06-06,Male,2024-01-25,Active
C00221,William,Robinson,william.robinson359@email.com,+1-517-771-7421,1963-06-08,Other,2024-08-21,Active
C00222,Ethan,Martinez,ethan.martinez573@email.com,+1-585-758-6381,1964-06-07,Other,2024-08-23,Active
C00223,Samuel,Williams,samuel.williams662@email.com,+1-886-533-9331,1985-06-02,Male,2023-12-27,Active
C00224,Alexander,Garcia,alexander.garcia974@email.com,+1-419-449-8967,2000-05-29,Male,2024-06-18,Active
C00225,William,Williams,william.williams303@email.com,+1-303-619-9843,1966-06-07,Male,2023-07-11,Active
C00226,Michael,Lewis,michael.lewis785@email.com,+1-832-234-7172,1997-05-30,Male,2024-07-27,Active
C00227,Andrew,Sanchez,andrew.sanchez925@email.com,+1-369-838-8170,1985-06-02,Female,2024-11-17,Active
C00228,Lucas,Anderson,lucas.anderson626@email.com,+1-491-870-8355,1993-05-31,Other,2024-05-06,Active
C00229,Alexander,Sanchez,alexander.sanchez804@email.com,+1-680-955-4178,1972-06-05,Other,2023-12-21,Active
C00230,Avery,Anderson,avery.anderson788@email.com,+1-488-896-7256,1982-06-03,Other,2023-08-05,Active
C00231,Mia,Clark,mia.clark205@email.com,+1-819-241-5096,1978-06-04,Other,2024-11-08,Active
C00232,Daniel,Moore,daniel.moore957@email.com,+1-305-828-9452,2003-05-29,Female,2024-08-26,Active
C00233,Mia,Rodriguez,mia.rodriguez461@email.com,+1-725-250-8167,1956-06-09,Male,2024-09-29,Active
C00234,Avery,Lewis,avery.lewis358@email.com,+1-227-524-1872,1985-06-02,Other,2023-11-22,Active
C00235,Lucas,Gonzalez,lucas.gonzalez84@email.com,+1-583-329-1461,1955-06-10,Male,2024-02-09,Active
C00236,Michael,Sanchez,michael.sanchez150@email.com,+1-340-139-5700,1955-06-10,Other,2023-09-05,Active
C00237,Isabella,Harris,isabella.harris723@email.com,+1-680-559-1086,1992-05-31,Male,2024-10-11,Active
C00238,Benjamin,Clark,benjamin.clark154@email.com,+1-761-844-9647,1959-06-09,Male,2023-10-25,Active
C00239,Evelyn,Davis,evelyn.davis309@email.com,+1-324-148-4906,1958-06-09,Other,2023-10-29,Active
C00240,Andrew,Anderson,andrew.anderson65@email.com,+1-313-956-9189,2007-05-28,Other,2023-04-30,Active
C00241,Scarlett,Jackson,scarlett.jackson248@email.com,+1-935-247-5772,1969-06-06,Male,2023-10-19,Active
C00242,Emily,Davis,emily.davis585@email.com,+1-626-291-2402,2004-05-28,Female,2023-07-14,Active
C00243,Samuel,Moore,samuel.moore520@email.com,+1-719-667-1333,2006-05-28,Female,2023-11-28,Active
C00244,Elizabeth,Lopez,elizabeth.lopez260@email.com,+1-965-116-6850,1993-05-31,Female,2024-10-23,Active
C00245,Sophia,Harris,sophia.harris596@email.com,+1-952-874-6447,1986-06-02,Male,2024-08-17,Active
C00246,Grace,Hernandez,grace.hernandez834@email.com,+1-858-279-8612,1968-06-06,Female,2023-01-19,Active
C00247,James,Sanchez,james.sanchez139@email.com,+1-264-833-8498,1996-05-30,Female,2024-11-24,Active
C00248,Olivia,Sanchez,olivia.sanchez205@email.com,+1-242-423-6080,1956-06-09,Female,2023-07-23,Active
C00249,Grace,Thomas,grace.thomas260@email.com,+1-237-871-4131,1953-06-10,Female,2024-03-14,Active
